06;490;06;427;2;0;0;5;4;1;3
06;091;02;001;21;0;0;124;8;16;102
02;005;06;035;16;22;91;284;59;101;244
06;805;06;126;22;0;0;8;2;2;5
06;028;06;252;18;0;0;1;0;0;1
02;006;02;006;14;31;191;851;274;104;917
06;532;06;497;3;0;0;4;1;0;3
06;638;02;010;9;0;1;2;0;1;1
06;035;02;012;9;4;2;23;9;8;17
06;840;06;840;18;387;6;5808;1531;435;5568
06;497;02;007;15;0;0;2;0;0;2
06;427;06;408;5;2;0;380;52;116;176
06;408;02;015;15;44;6;52;19;26;61
02;005;02;014;22;0;42;164;15;10;192
02;015;06;364;16;6;1;17;4;8;11
06;760;06;035;7;1;0;4;0;2;2
02;002;06;497;8;0;1;11;5;4;5
02;011;06;560;11;22;0;66;44;21;51
06;756;02;008;13;5;1;34;11;11;21
06;560;02;006;17;0;0;31;9;1;28
02;013;06;778;17;12;13;2;5;8;15
02;002;02;009;11;13;19;143;45;48;104
02;015;06;648;19;2;6;2;4;2;6
06;497;06;371;18;0;0;2;0;1;1
02;002;06;658;6;9;5;88;26;33;48
06;532;02;003;7;0;0;12;6;1;10
02;004;06;490;19;17;1;925;169;175;688
06;805;06;266;14;0;0;4;0;1;1
06;749;06;441;8;2;0;2;2;2;2
06;756;06;028;10;2;1;6;1;3;5
06;035;02;014;5;28;31;445;102;148;288
02;010;02;011;9;4;1;716;253;67;618
02;015;02;010;3;0;0;4;0;0;3
02;010;02;013;17;8;15;284;41;60;217
02;004;06;274;9;8;0;86;26;21;62
02;004;06;035;10;2;0;705;198;101;555
06;441;06;245;1;0;0;4;1;0;3
02;004;06;260;10;6;1;154;42;39;106
06;497;06;840;15;0;0;2;1;0;2
06;134;06;658;4;2;0;5;0;2;3
02;009;02;015;7;16;31;988;172;121;861
02;012;06;840;4;1;0;8;1;3;5
02;003;06;648;0;0;0;2;0;1;1
06;441;02;015;20;0;6;12;0;7;8
06;805;06;497;15;0;0;9;2;3;3
06;441;06;658;17;40;0;233;59;65;169
02;013;06;861;5;8;1;85;12;10;79
02;006;02;011;5;0;0;45;0;2;42
06;638;06;515;11;28;0;476;128;110;333
06;861;06;515;18;129;1;703;237;184;527
06;497;02;004;11;0;0;5;0;2;2
02;002;06;749;0;0;0;6;0;2;3
06;568;02;001;9;349;263;444;133;313;490
06;371;06;410;13;0;0;24;8;7;12
06;441;06;270;11;1;0;1;1;0;2
02;002;06;532;11;0;1;1;1;1;1
06;882;06;882;20;0;0;415;96;6;407
02;003;06;760;7;23;23;20;12;18;29
06;408;06;371;4;6;0;132;24;39;75
06;371;06;515;13;15;0;128;52;38;77
06;515;02;015;8;51;12;93;35;45;72
06;756;06;441;6;12;0;24;16;9;11
06;270;06;028;20;4;0;53;12;16;30
02;010;02;004;7;5;23;360;55;75;269
02;008;06;749;17;0;0;4;0;0;3
06;638;02;004;3;1;0;8;0;3;3
06;778;06;119;7;2;0;51;4;4;45
06;427;06;568;1;0;0;19;4;0;19
06;434;06;568;21;0;0;2;2;1;1
06;749;02;010;7;5;1;15;8;7;8
06;252;06;861;18;4;0;67;20;15;51
02;002;06;539;21;95;11;180;60;72;106
06;371;06;568;14;30;0;187;48;56;118
06;638;02;011;19;5;0;11;5;2;12
02;011;02;007;5;1;1;49;5;12;34
06;861;06;560;18;27;0;480;180;131;291
02;001;02;013;19;560;1562;885;149;258;2633
06;028;02;013;9;45;31;66;20;41;63
02;004;06;525;13;0;0;2;0;1;1
06;497;06;560;7;0;0;67;13;11;48
