prov_origen;depto_origen;prov_destino;depto_destino;hora_incio;cantidad_tren;cantidad_subte;cantidad_bus;cantidad_as;cantidad_transbordo;pobl2010_origen;pobl2010_destino
6;756;6;532;5;0;0;21;5;8;292878;63284
6;364;6;756;5;5;0;200;59;86;87185;292878
6;252;6;252;5;6;3;52747;11741;7050;213619;213619
2;1;6;266;5;3;5;13;3;5;206262;29805
6;427;6;434;5;301;5;2295;537;1026;1498704;459263
6;658;2;9;5;37;10;449;101;215;581314;161797
2;5;2;2;5;17;1534;4599;972;734;179005;157835
2;3;6;648;5;73;73;383;84;169;187537;81141
6;410;2;12;5;80;4;244;94;126;167824;200870
6;270;2;9;5;29;1;469;94;149;163671;161797
6;490;6;532;5;1;0;1;0;1;616279;63284
6;568;6;134;5;6;2;32;10;15;321109;51892
6;441;6;364;5;0;0;7;0;3;654324;87185
6;539;6;515;5;65;0;1063;298;233;525261;322375
2;13;6;778;5;42;50;40;28;41;232094;59478
6;274;6;119;5;3;0;63;18;9;426005;26367
6;329;6;329;5;1;0;254;29;3;14889;14889
6;274;6;882;5;0;0;3;3;1;426005;114269
6;483;2;1;5;2;0;5;3;2;36172;206262
6;364;6;568;5;6;0;555;145;167;87185;321109
6;252;6;260;5;0;0;6;2;2;213619;300934
6;98;6;434;5;2;0;5;1;2;88470;459263
6;427;6;245;5;2;0;7;2;2;1498704;56729
2;3;2;11;5;456;2158;5047;869;2094;187537;189832
2;4;2;13;5;316;829;4750;950;1527;218245;232094
2;14;6;560;5;1037;52;2936;1484;1529;225970;451589
6;245;2;1;5;33;10;202;39;90;56729;206262
6;532;2;13;5;0;0;26;6;1;63284;232094
6;274;6;427;5;30;3;712;203;230;426005;1498704
6;861;6;427;5;105;7;4414;1233;1786;268752;1498704
6;28;2;5;5;607;463;1631;495;1070;552228;179005
6;756;6;434;5;93;38;239;82;151;292878;459263
2;2;6;270;5;53;98;422;129;124;157835;163671
6;371;6;412;5;375;0;2992;771;1091;414196;265981
6;270;6;805;5;2;0;38;4;19;163671;377797
6;760;6;525;5;4;0;54;17;23;273838;54181
2;11;6;371;5;89;6;3200;787;828;189832;414196
6;28;2;11;5;68;11;379;116;186;552228;189832
6;497;2;14;5;0;1;93;27;23;106273;225970
6;483;6;427;5;0;0;19;7;2;36172;1498704
6;134;6;490;5;408;7;295;132;205;51892;616279
2;4;2;15;5;175;1663;4933;827;1887;218245;182574
2;13;6;427;5;451;1009;8990;2713;4054;232094;1498704
6;245;2;11;5;2;0;4;0;2;56729;189832
6;515;6;490;5;21;2;155;26;63;322375;616279
2;6;6;126;5;0;4;8;1;6;175916;94461
6;252;6;882;5;0;1;344;71;84;213619;114269
6;35;6;260;5;398;3;1628;372;751;342464;300934
6;638;6;412;5;1403;4;7685;2346;2619;299916;265981
6;408;2;11;5;349;3;569;223;315;180423;189832
6;364;2;13;5;2;4;158;66;59;87185;232094
6;441;6;525;5;0;0;3;0;0;654324;54181
6;539;6;91;5;8;0;33;11;17;525261;324244
6;274;6;91;5;217;7;13270;3550;2797;426005;324244
6;408;6;882;5;1;0;1;0;1;180423;114269
2;1;6;119;5;14;6;13;0;8;206262;26367
2;14;2;6;5;34;587;6896;1310;944;225970;175916
2;4;6;532;5;0;0;8;6;3;218245;63284
6;98;6;245;5;0;0;1096;228;138;88470;56729
6;364;2;15;5;19;6;125;30;61;87185;182574
6;648;2;1;5;873;668;2144;659;1265;81141;206262
2;9;6;91;5;30;5;143;51;70;161797;324244
6;638;6;371;5;194;1;721;181;372;299916;414196
6;760;6;568;5;263;2;2762;637;798;273838;321109
6;840;2;13;5;905;209;2827;685;1656;339828;232094
2;13;6;329;5;2;1;5;2;3;232094;14889
2;14;6;427;5;479;292;9542;3012;3834;225970;1498704
2;12;6;266;5;0;0;4;3;1;200870;29805
2;1;6;91;5;818;823;7918;1496;2254;206262;324244
6;882;6;749;5;0;0;6;0;1;114269;166803
2;8;6;749;5;14;0;95;12;32;187237;166803
6;119;6;427;5;0;0;1;0;0;26367;1498704
6;245;6;35;5;1;0;14;1;4;56729;342464
6;412;6;434;5;12;1;24;8;12;265981;459263
6;371;6;35;5;48;9;145;44;76;414196;342464
6;532;6;490;5;0;0;1;0;0;63284;616279
6;270;6;434;5;438;2;962;323;511;163671;459263
6;568;6;840;5;919;9;8315;2189;2096;321109;339828
2;7;2;11;5;74;153;5914;1338;913;220429;189832
2;12;6;260;5;32;89;367;106;170;200870;300934
6;648;6;91;5;22;2;64;10;30;81141;324244
2;7;2;7;5;328;1990;26169;5517;3257;220429;220429
2;8;6;98;5;3;0;4;0;3;187237;88470
6;245;6;658;5;9;0;147;18;47;56729;581314
6;749;2;1;5;2230;798;1631;560;1733;166803;206262
6;98;6;560;5;1;0;2;0;1;88470;451589
6;658;6;119;5;1;0;20;2;5;581314;26367
6;410;6;756;5;16;0;334;95;145;167824;292878
6;260;2;13;5;171;141;842;350;478;300934;232094
6;134;2;2;5;67;34;39;20;62;51892;157835
2;6;2;7;5;113;1864;12491;2764;1263;175916;220429
6;410;2;8;5;73;0;296;79;148;167824;187237
6;560;2;6;5;114;25;1064;392;220;451589;175916
6;778;6;882;5;0;0;1;1;0;59478;114269
6;497;6;260;5;0;0;7;4;3;106273;300934
6;134;2;7;5;24;12;22;5;25;51892;220429
6;574;6;364;5;0;0;1;0;0;17054;87185
